2021-03-05T15:54:43.116Z - UI.Vision RPA started
2021-03-05T15:54:44.891Z - [status] Playing macro Test/xodo
2021-03-05T15:54:44.958Z - [info] Executing:  | open | https://ui.vision/demo/webtest/frames/ |  | 
2021-03-05T15:54:47.087Z - [info] Executing:  | echo | Reduce replay speed so we can better see what is going on... |  | 
2021-03-05T15:54:47.098Z - [echo] Reduce replay speed so we can better see what is going on...
2021-03-05T15:54:47.126Z - [info] Executing:  | store | medium | !replayspeed | 
2021-03-05T15:54:47.478Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T15:54:47.847Z - [info] Executing:  | click | name=mytext1 |  | 
2021-03-05T15:54:48.224Z - [info] Executing:  | type | name=mytext1 | Frame1 (index=0) | 
2021-03-05T15:54:48.584Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:48.951Z - [info] Executing:  | selectFrame | index=1 |  | 
2021-03-05T15:54:49.299Z - [info] Executing:  | click | name=mytext2 |  | 
2021-03-05T15:54:49.663Z - [info] Executing:  | type | name=mytext2 | Frame2 (index=1) | 
2021-03-05T15:54:50.008Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:50.353Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T15:54:50.693Z - [info] Executing:  | click | name=mytext3 |  | 
2021-03-05T15:54:51.040Z - [info] Executing:  | type | name=mytext3 | Frame3 (index=2) | 
2021-03-05T15:54:51.386Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:51.729Z - [info] Executing:  | selectFrame | index=3 |  | 
2021-03-05T15:54:52.108Z - [info] Executing:  | click | name=mytext4 |  | 
2021-03-05T15:54:52.494Z - [info] Executing:  | type | name=mytext4 | Frame4 (index=3) | 
2021-03-05T15:54:52.844Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:53.212Z - [info] Executing:  | selectFrame | index=4 |  | 
2021-03-05T15:54:53.587Z - [info] Executing:  | click | name=mytext5 |  | 
2021-03-05T15:54:53.933Z - [info] Executing:  | type | name=mytext5 | Frame5 (index=4) | 
2021-03-05T15:54:54.278Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:54:54.630Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T15:54:54.970Z - [info] Executing:  | type | name=mytext3 | now testing iframe inside this frame | 
2021-03-05T15:54:55.348Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T15:54:55.694Z - [info] Executing:  | click | //span[contains(text(),"UI.Vision IDE")] |  | 
2021-03-05T15:54:56.110Z - [info] Executing:  | click | css=input.quantumWizTextinputSimpleinputInput.exportInput |  | 
2021-03-05T15:54:56.475Z - [info] Executing:  | type | css=input.quantumWizTextinputSimpleinputInput.exportInput | iframe in frame: works! | 
2021-03-05T15:54:56.904Z - [info] Executing:  | clickAndWait | xpath=//div[3]/div/div/div/span |  | 
2021-03-05T15:54:59.279Z - [info] Executing:  | type | name=entry.1572386418 | Form Filling Test Done! | 
2021-03-05T15:54:59.656Z - [info] Executing:  | click | xpath=//*[@id="mG61Hd"]/div/div/div[3]/div[1]/div[1]/div[2]/span/span |  | 
2021-03-05T15:55:00.020Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T15:55:00.375Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T15:55:00.726Z - [info] Executing:  | type | name=mytext3 | Test completed! | 
2021-03-05T15:55:01.139Z - [info] Macro completed (Runtime 16.20s)
2021-03-05T15:55:02.122Z - UI.Vision RPA closing
