2021-03-05T21:55:15.336Z - UI.Vision RPA started
2021-03-05T21:56:03.135Z - [status] Playing macro C:\Users\makif\Desktop\uivision\macros\Test\xodo.json
2021-03-05T21:56:03.249Z - [info] Executing:  | open | https://ui.vision/demo/webtest/frames/ |  | 
2021-03-05T21:56:05.442Z - [info] Executing:  | echo | Reduce replay speed so we can better see what is going on... |  | 
2021-03-05T21:56:05.451Z - [echo] Reduce replay speed so we can better see what is going on...
2021-03-05T21:56:05.500Z - [info] Executing:  | store | medium | !replayspeed | 
2021-03-05T21:56:05.828Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T21:56:06.229Z - [info] Executing:  | click | name=mytext1 |  | 
2021-03-05T21:56:06.640Z - [info] Executing:  | type | name=mytext1 | Frame1 (index=0) | 
2021-03-05T21:56:07.048Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T21:56:07.444Z - [info] Executing:  | selectFrame | index=1 |  | 
2021-03-05T21:56:07.980Z - [info] Executing:  | click | name=mytext2 |  | 
2021-03-05T21:56:08.346Z - [info] Executing:  | type | name=mytext2 | Frame2 (index=1) | 
2021-03-05T21:56:08.712Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T21:56:09.078Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T21:56:09.437Z - [info] Executing:  | click | name=mytext3 |  | 
2021-03-05T21:56:09.800Z - [info] Executing:  | type | name=mytext3 | Frame3 (index=2) | 
2021-03-05T21:56:10.164Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T21:56:10.525Z - [info] Executing:  | selectFrame | index=3 |  | 
2021-03-05T21:56:10.885Z - [info] Executing:  | click | name=mytext4 |  | 
2021-03-05T21:56:11.249Z - [info] Executing:  | type | name=mytext4 | Frame4 (index=3) | 
2021-03-05T21:56:11.610Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T21:56:11.968Z - [info] Executing:  | selectFrame | index=4 |  | 
2021-03-05T21:56:12.327Z - [info] Executing:  | click | name=mytext5 |  | 
2021-03-05T21:56:12.691Z - [info] Executing:  | type | name=mytext5 | Frame5 (index=4) | 
2021-03-05T21:56:13.094Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T21:56:13.448Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T21:56:13.803Z - [info] Executing:  | type | name=mytext3 | now testing iframe inside this frame | 
2021-03-05T21:56:14.175Z - [info] Executing:  | selectFrame | index=0 |  | 
2021-03-05T21:56:14.537Z - [info] Executing:  | click | //span[contains(text(),"UI.Vision IDE")] |  | 
2021-03-05T21:56:14.936Z - [info] Executing:  | click | css=input.quantumWizTextinputSimpleinputInput.exportInput |  | 
2021-03-05T21:56:15.638Z - [info] Executing:  | type | css=input.quantumWizTextinputSimpleinputInput.exportInput | iframe in frame: works! | 
2021-03-05T21:56:16.076Z - [info] Executing:  | clickAndWait | xpath=//div[3]/div/div/div/span |  | 
2021-03-05T21:56:18.493Z - [info] Executing:  | type | name=entry.1572386418 | Form Filling Test Done! | 
2021-03-05T21:56:18.854Z - [info] Executing:  | click | xpath=//*[@id="mG61Hd"]/div/div/div[3]/div[1]/div[1]/div[2]/span/span |  | 
2021-03-05T21:56:19.234Z - [info] Executing:  | selectFrame | relative=top |  | 
2021-03-05T21:56:19.591Z - [info] Executing:  | selectFrame | index=2 |  | 
2021-03-05T21:56:19.944Z - [info] Executing:  | type | name=mytext3 | Test completed! | 
2021-03-05T21:56:20.371Z - [info] Macro completed (Runtime 17.14s)
2021-03-05T21:56:21.385Z - UI.Vision RPA closing
